Location,Latitude,Longitude,Timestamp,Datetime,Year,Month,Day,Hour,T2M,RH2M,WS10M,WS50M,CLOUD_AMT,ALLSKY_SFC_SW_DWN,SZA
Karnali_Center,29.267,82.183,2025010100,2025-01-01 00:00:00,2025,1,1,0,-0.03,38.34,2.06,2.24,38.43,0.0,90.0
Karnali_Center,29.267,82.183,2025010101,2025-01-01 01:00:00,2025,1,1,1,-0.05,37.63,2.09,2.26,7.45,0.0,90.0
Karnali_Center,29.267,82.183,2025010102,2025-01-01 02:00:00,2025,1,1,2,-0.18,36.87,2.18,2.34,27.89,0.0,90.0
Karnali_Center,29.267,82.183,2025010103,2025-01-01 03:00:00,2025,1,1,3,-0.21,35.98,2.19,2.34,34.65,0.0,90.0
Karnali_Center,29.267,82.183,2025010104,2025-01-01 04:00:00,2025,1,1,4,-0.21,35.02,2.18,2.33,34.69,0.0,90.0
Karnali_Center,29.267,82.183,2025010105,2025-01-01 05:00:00,2025,1,1,5,-0.29,34.48,2.24,2.37,35.27,0.0,90.0
Karnali_Center,29.267,82.183,2025010106,2025-01-01 06:00:00,2025,1,1,6,-0.1,34.34,2.26,2.39,39.21,13.93,88.46
Karnali_Center,29.267,82.183,2025010107,2025-01-01 07:00:00,2025,1,1,7,2.67,49.02,1.86,2.24,39.57,160.23,78.66
Karnali_Center,29.267,82.183,2025010108,2025-01-01 08:00:00,2025,1,1,8,7.02,25.73,1.69,1.58,47.74,308.08,68.66
Karnali_Center,29.267,82.183,2025010109,2025-01-01 09:00:00,2025,1,1,9,10.24,19.21,1.21,1.0,49.37,454.42,60.43
Karnali_Center,29.267,82.183,2025010110,2025-01-01 10:00:00,2025,1,1,10,11.79,17.91,2.11,1.67,51.99,557.78,54.81
Karnali_Center,29.267,82.183,2025010111,2025-01-01 11:00:00,2025,1,1,11,12.62,17.89,3.03,2.52,54.41,594.03,52.64
Karnali_Center,29.267,82.183,2025010112,2025-01-01 12:00:00,2025,1,1,12,12.8,18.91,3.84,3.27,55.34,559.85,54.35
Karnali_Center,29.267,82.183,2025010113,2025-01-01 13:00:00,2025,1,1,13,12.32,20.96,4.2,3.63,45.47,476.02,59.59
Karnali_Center,29.267,82.183,2025010114,2025-01-01 14:00:00,2025,1,1,14,11.12,24.43,3.97,3.49,43.8,325.08,67.55
Karnali_Center,29.267,82.183,2025010115,2025-01-01 15:00:00,2025,1,1,15,8.84,33.44,2.82,2.88,31.06,186.05,77.38
Karnali_Center,29.267,82.183,2025010116,2025-01-01 16:00:00,2025,1,1,16,4.54,53.57,1.68,2.12,27.14,22.88,87.67
Karnali_Center,29.267,82.183,2025010117,2025-01-01 17:00:00,2025,1,1,17,3.27,52.07,1.06,1.35,22.69,0.0,90.0
Karnali_Center,29.267,82.183,2025010118,2025-01-01 18:00:00,2025,1,1,18,2.23,55.15,1.08,1.25,25.58,0.0,90.0
Karnali_Center,29.267,82.183,2025010119,2025-01-01 19:00:00,2025,1,1,19,1.29,55.93,1.73,1.9,31.01,0.0,90.0
Karnali_Center,29.267,82.183,2025010120,2025-01-01 20:00:00,2025,1,1,20,0.67,53.82,2.1,2.26,37.13,0.0,90.0
Karnali_Center,29.267,82.183,2025010121,2025-01-01 21:00:00,2025,1,1,21,0.41,50.06,2.24,2.39,35.83,0.0,90.0
Karnali_Center,29.267,82.183,2025010122,2025-01-01 22:00:00,2025,1,1,22,0.2,46.52,2.37,2.49,37.66,0.0,90.0
Karnali_Center,29.267,82.183,2025010123,2025-01-01 23:00:00,2025,1,1,23,0.01,43.56,2.51,2.61,37.08,0.0,90.0
Karnali_Center,29.267,82.183,2025010200,2025-01-02 00:00:00,2025,1,2,0,-0.19,41.76,2.65,2.72,32.61,0.0,90.0
Karnali_Center,29.267,82.183,2025010201,2025-01-02 01:00:00,2025,1,2,1,-0.27,39.7,2.7,2.76,4.3,0.0,90.0
Karnali_Center,29.267,82.183,2025010202,2025-01-02 02:00:00,2025,1,2,2,-0.2,38.88,2.68,2.7,28.23,0.0,90.0
Karnali_Center,29.267,82.183,2025010203,2025-01-02 03:00:00,2025,1,2,3,-0.16,37.99,2.64,2.64,47.64,0.0,90.0
Karnali_Center,29.267,82.183,2025010204,2025-01-02 04:00:00,2025,1,2,4,-0.44,38.11,2.73,2.72,38.92,0.0,90.0
Karnali_Center,29.267,82.183,2025010205,2025-01-02 05:00:00,2025,1,2,5,-0.65,38.0,2.79,2.75,45.23,0.0,90.0
Karnali_Center,29.267,82.183,2025010206,2025-01-02 06:00:00,2025,1,2,6,-0.62,38.74,2.81,2.78,47.11,14.02,88.49
Karnali_Center,29.267,82.183,2025010207,2025-01-02 07:00:00,2025,1,2,7,2.52,50.64,2.43,2.8,41.69,166.8,78.69
Karnali_Center,29.267,82.183,2025010208,2025-01-02 08:00:00,2025,1,2,8,7.48,27.01,2.97,2.54,49.67,321.83,68.66
Karnali_Center,29.267,82.183,2025010209,2025-01-02 09:00:00,2025,1,2,9,11.15,19.27,1.79,1.65,51.05,470.2,60.41
Karnali_Center,29.267,82.183,2025010210,2025-01-02 10:00:00,2025,1,2,10,13.87,14.94,1.03,0.68,52.73,576.08,54.76
Karnali_Center,29.267,82.183,2025010211,2025-01-02 11:00:00,2025,1,2,11,14.96,14.72,2.57,2.16,54.46,613.38,52.56
Karnali_Center,29.267,82.183,2025010212,2025-01-02 12:00:00,2025,1,2,12,15.17,15.58,3.51,3.03,46.83,576.35,54.24
Karnali_Center,29.267,82.183,2025010213,2025-01-02 13:00:00,2025,1,2,13,14.63,17.52,4.18,3.69,53.79,475.02,59.46
Karnali_Center,29.267,82.183,2025010214,2025-01-02 14:00:00,2025,1,2,14,13.31,21.05,4.13,3.76,48.31,328.73,67.41
Karnali_Center,29.267,82.183,2025010215,2025-01-02 15:00:00,2025,1,2,15,10.72,34.41,2.47,2.88,37.28,189.23,77.24
Karnali_Center,29.267,82.183,2025010216,2025-01-02 16:00:00,2025,1,2,16,6.83,47.6,1.53,1.9,34.38,24.2,87.58
Karnali_Center,29.267,82.183,2025010217,2025-01-02 17:00:00,2025,1,2,17,5.86,45.94,1.04,1.25,27.21,0.0,90.0
Karnali_Center,29.267,82.183,2025010218,2025-01-02 18:00:00,2025,1,2,18,5.25,47.44,1.49,1.7,28.95,0.0,90.0
Karnali_Center,29.267,82.183,2025010219,2025-01-02 19:00:00,2025,1,2,19,4.33,45.46,1.81,2.0,69.05,0.0,90.0
Karnali_Center,29.267,82.183,2025010220,2025-01-02 20:00:00,2025,1,2,20,3.85,43.44,1.92,2.1,95.59,0.0,90.0
Karnali_Center,29.267,82.183,2025010221,2025-01-02 21:00:00,2025,1,2,21,3.37,43.44,2.15,2.31,90.3,0.0,90.0
Karnali_Center,29.267,82.183,2025010222,2025-01-02 22:00:00,2025,1,2,22,3.09,43.53,2.31,2.46,73.42,0.0,90.0
Karnali_Center,29.267,82.183,2025010223,2025-01-02 23:00:00,2025,1,2,23,2.89,43.21,2.38,2.54,54.15,0.0,90.0
Karnali_Center,29.267,82.183,2025010300,2025-01-03 00:00:00,2025,1,3,0,2.74,42.72,2.43,2.58,68.51,0.0,90.0
Karnali_Center,29.267,82.183,2025010301,2025-01-03 01:00:00,2025,1,3,1,2.67,42.14,2.44,2.58,53.57,0.0,90.0
Karnali_Center,29.267,82.183,2025010302,2025-01-03 02:00:00,2025,1,3,2,2.62,41.18,2.45,2.59,77.43,0.0,90.0
Karnali_Center,29.267,82.183,2025010303,2025-01-03 03:00:00,2025,1,3,3,2.45,38.98,2.44,2.55,83.74,0.0,90.0
Karnali_Center,29.267,82.183,2025010304,2025-01-03 04:00:00,2025,1,3,4,2.3,37.33,2.42,2.49,69.62,0.0,90.0
Karnali_Center,29.267,82.183,2025010305,2025-01-03 05:00:00,2025,1,3,5,2.39,36.32,2.4,2.43,66.09,0.0,90.0
Karnali_Center,29.267,82.183,2025010306,2025-01-03 06:00:00,2025,1,3,6,2.57,35.72,2.39,2.39,67.98,11.0,88.5
Karnali_Center,29.267,82.183,2025010307,2025-01-03 07:00:00,2025,1,3,7,4.73,45.75,2.15,2.32,66.97,137.05,78.71
Karnali_Center,29.267,82.183,2025010308,2025-01-03 08:00:00,2025,1,3,8,9.16,32.98,2.13,2.05,71.78,269.27,68.66
Karnali_Center,29.267,82.183,2025010309,2025-01-03 09:00:00,2025,1,3,9,12.6,20.27,0.76,0.67,72.11,408.3,60.38
Karnali_Center,29.267,82.183,2025010310,2025-01-03 10:00:00,2025,1,3,10,14.54,17.36,1.4,1.18,74.39,496.38,54.7
Karnali_Center,29.267,82.183,2025010311,2025-01-03 11:00:00,2025,1,3,11,15.43,16.85,2.5,2.23,76.07,517.7,52.46
Karnali_Center,29.267,82.183,2025010312,2025-01-03 12:00:00,2025,1,3,12,15.76,17.0,3.07,2.77,80.45,510.5,54.12
Karnali_Center,29.267,82.183,2025010313,2025-01-03 13:00:00,2025,1,3,13,15.38,17.87,3.25,2.97,82.22,413.17,59.33
Karnali_Center,29.267,82.183,2025010314,2025-01-03 14:00:00,2025,1,3,14,14.23,20.17,2.98,2.81,70.07,295.12,67.27
Karnali_Center,29.267,82.183,2025010315,2025-01-03 15:00:00,2025,1,3,15,11.59,39.32,1.73,2.31,52.08,171.32,77.1
Karnali_Center,29.267,82.183,2025010316,2025-01-03 16:00:00,2025,1,3,16,8.77,40.54,1.28,1.63,38.99,23.42,87.49
Karnali_Center,29.267,82.183,2025010317,2025-01-03 17:00:00,2025,1,3,17,8.05,35.6,0.8,0.97,24.46,0.0,90.0
Karnali_Center,29.267,82.183,2025010318,2025-01-03 18:00:00,2025,1,3,18,6.34,39.19,1.31,1.43,17.42,0.0,90.0
