Feature,Importance_Mean,Importance_Std
wind_speed_lag12,0.01495722655814774,0.001627077974189635
wind_speed_roll24,0.014503099403724884,0.002233747306657449
solar_irradiance,0.01139074289219747,0.0004907121900392524
humidity_lag12,0.011290580391123494,0.0004291563903612451
humidity_lag24,0.00927535560413506,0.0002762510549992237
humidity_roll24,0.009106336419174544,0.00038704548239326154
solar_irradiance_lag24,0.009077894699096223,0.00032400547302092976
humidity_lag6,0.008191355700926972,0.00032504384779993086
solar_irradiance_lag1,0.007715754618379755,0.0004867847959150848
solar_irradiance_lag6,0.007651600650187862,0.0004929198647059882
humidity,0.006283655719061099,0.00016985543865688323
wind_speed_lag6,0.006270242894795486,0.0004545171367231194
doy_sin,0.0058335918380272075,0.00026140094297853365
wind_speed_lag24,0.005340100522826541,0.0005513971633631845
temperature_lag12,0.0052176050671782995,0.0003424020688047208
solar_irradiance_lag2,0.004561343478404223,0.0003205509318344553
wind_speed_lag2,0.004225750314954535,0.00021318919796764975
humidity_lag1,0.004192586120057362,0.00016198941005981325
solar_irradiance_lag3,0.004075200999612105,0.0001483869306208057
humidity_roll6,0.00394157812962872,0.0001913479663228694
solar_irradiance_roll6,0.003684380907328233,0.0001419461032572282
hour_sin,0.003487591365310172,0.00041491924922198
wind_speed_lag3,0.0032484775044910206,0.00018464494200007045
solar_zenith,0.003204448249377112,0.0002360116710807274
wind_speed_lag1,0.0031856860951719355,0.0002965309532503626
temperature_roll24,0.002988541193038996,0.00025556094846748456
humidity_lag2,0.0028282846858520895,0.00023759106901593806
temperature,0.0027785778463218836,0.0003587980540319172
wind_speed,0.0026147622160393345,0.00022994601729155095
humidity_lag3,0.002538794241594378,0.0003085111897551264
temperature_lag6,0.0024693732790949108,0.0004101473209964965
doy_cos,0.0021542040823927856,0.00021549693603616814
wind_speed_roll6,0.0019152512059718795,0.00015598774526884459
solar_irradiance_roll24,0.0019010003396666808,0.00032803407854861694
temperature_lag3,0.0017310636672603352,0.0004459750285483394
temperature_lag1,0.0016196829787341938,0.00023209528028427865
wind_speed_cubed,0.00147432728447231,0.0001176361420675213
temperature_roll6,0.0014163295122511133,0.00041131914659826
temperature_lag2,0.0014087383191667801,0.00030770517861535023
temperature_lag24,0.0012687621483736477,0.00026958188595894604
hour_cos,0.0008274534459293715,0.0002886352080219744
solar_irradiance_lag12,0.0,0.0
air_mass,-0.0016721485728717566,0.0012623692397399887
