Feature,Importance_Mean,Importance_Std
solar_irradiance,0.03835739604030286,0.001160151079136606
temperature,0.022204614380030973,0.0007011805624100036
humidity_lag2,0.012754011197691362,0.0006558064898820546
solar_irradiance_lag1,0.009743814994352095,0.0002366167412913328
solar_irradiance_lag24,0.006740068483047668,0.00012434548424426403
temperature_lag2,0.005979830557034049,0.00029421960778094674
air_mass,0.003808394911944557,0.00012622057698008957
temperature_lag24,0.003505488781391841,0.00014468571505806381
wind_speed_cubed,0.0034272674576847017,4.313454064288691e-05
temperature_lag1,0.0027091605769147377,0.00012392240032614886
temperature_lag12,0.0025919051117745395,0.0006256602279201684
solar_zenith,0.0022558928721678416,7.389443153408922e-05
humidity_roll24,0.0010479887494118767,9.895364298969064e-05
cloud_amount_lag1,0.0010364271621119193,0.00012691746221355705
humidity_lag6,0.0009579190859556608,0.00014469973271708845
solar_irradiance_roll24,0.000536675016772048,8.12549564459046e-05
cloud_amount_lag6,0.00044502310241480993,0.0002361788668483115
cloud_amount_roll24,0.00034747268267854015,0.000575516149041714
wind_speed_lag3,0.0003209850490737742,6.658884219607184e-05
doy_sin,0.00027586101536644094,9.894689298957092e-05
wind_speed_lag1,0.00022020683592596235,3.9770887925967765e-05
humidity_lag12,0.00015002205486517318,0.00022959864331171438
wind_speed_lag12,0.0001360432806702283,0.00024401479728778248
cloud_amount_lag2,0.00012757112903625246,1.8274840603228363e-05
cloud_amount_lag3,0.00010933806760373698,9.671733781300313e-05
wind_speed_roll6,8.911749519437961e-05,2.636011418573244e-05
solar_irradiance_lag6,3.384950980639401e-05,4.280556459728459e-05
solar_irradiance_lag12,0.0,0.0
wind_speed_lag6,-6.229509683186585e-06,1.3979982156212839e-05
wind_speed_roll24,-3.994716882851357e-05,1.9121758650721826e-05
cloud_amount_roll6,-6.711837425467104e-05,0.00019546357309476004
wind_speed_lag2,-8.026555638260824e-05,7.67576871818711e-06
humidity_lag3,-0.00013453164516838979,0.0003225643301665423
cloud_amount_lag24,-0.0001704158778891407,8.475591415084414e-05
humidity_roll6,-0.00022655580951010945,3.177022909371503e-05
hour_sin,-0.0002440062836246426,2.256806059659892e-05
temperature_lag6,-0.0003097685400550443,1.1906790689629831e-05
humidity_lag24,-0.00031078011433132157,3.2920663913745245e-05
cloud_amount_lag12,-0.00033456234783930673,5.203623881359401e-05
doy_cos,-0.0005653167755782729,0.0002378301288560761
cloud_amount,-0.0008644778754409276,0.0001657228793615005
temperature_roll24,-0.0009163430984747145,0.0002283332573759185
humidity_lag1,-0.0012708661304652313,7.079274547657444e-05
wind_speed_lag24,-0.0013465388407508105,1.5375493866212416e-05
temperature_roll6,-0.0013954967156902254,6.629221649464398e-05
solar_irradiance_lag3,-0.0018054664846879564,7.6503813041031e-05
solar_irradiance_lag2,-0.001985612585649721,5.5713984667771135e-05
solar_irradiance_roll6,-0.0027125420368450002,0.0001761961941437585
temperature_lag3,-0.0032126038184585705,0.0003313477113193266
wind_speed,-0.003518893339596774,5.4971757166579055e-05
humidity,-0.0036897697042204136,0.00028154496693137953
hour_cos,-0.015444839531386746,0.00036523787606204276
